budget,revenue,runtime,vote_average,vote_count,popularity,genres,release_date,release_year,main_genre,roi,profit,hit,log_revenue
30000000.0,373554033.0,81.0,7.7,5415.0,21.946943,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",1995-10-30,1995.0,Animation,12.4518011,343554033.0,1,19.73857322141759
65000000.0,262797249.0,104.0,6.9,2413.0,17.015539,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",1995-12-15,1995.0,Adventure,4.0430346,197797249.0,1,19.386893380288626
16000000.0,81452156.0,127.0,6.1,34.0,3.859495,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-12-22,1995.0,Comedy,5.09075975,65452156.0,1,18.215526375166277
60000000.0,187436818.0,170.0,7.7,1886.0,17.924927,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1995-12-15,1995.0,Action,3.123946966666667,127436818.0,1,19.04895238125583
35000000.0,64350171.0,106.0,5.5,174.0,5.23158,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",1995-12-22,1995.0,Action,1.8385763142857143,29350171.0,0,17.979850164885512
58000000.0,352194034.0,130.0,6.6,1194.0,14.686036,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",1995-11-16,1995.0,Adventure,6.072310931034483,294194034.0,1,19.679692817483186
62000000.0,107879496.0,106.0,6.5,199.0,6.318445,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-11-17,1995.0,Comedy,1.739991870967742,45879496.0,0,18.496525393636873
44000000.0,13681765.0,192.0,7.1,72.0,5.092,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",1995-12-22,1995.0,History,0.31094920454545455,-30318235.0,0,16.43157455539407
98000000.0,10017322.0,119.0,5.7,137.0,7.284477,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",1995-12-22,1995.0,Action,0.10221757142857144,-87982678.0,0,16.119826452257225
52000000.0,116112375.0,178.0,7.8,1343.0,10.137389,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",1995-11-22,1995.0,Drama,2.2329302884615383,64112375.0,1,18.570069038747533
16500000.0,135000000.0,136.0,7.2,364.0,10.673167,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-12-13,1995.0,Drama,8.181818181818182,118500000.0,1,18.72078534381011
4000000.0,4300000.0,98.0,6.5,539.0,9.026586,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",1995-12-09,1995.0,Crime,1.075,300000.0,0,15.274125813221904
30000000.0,212385533.0,90.0,6.1,1128.0,8.205448,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",1995-11-10,1995.0,Crime,7.079517766666667,182385533.0,1,19.173913737668016
